Data Source;Indicadores del desarrollo mundial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;2026-01-28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
Chipre;CYP;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;765;759;430;359;382;320;91;137;;;;;361;563;739;426;538;434;100;;;;;;;
República Checa;CZE;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1390;2659;3564;1452;3259;4951;6351;7591;9139;6588;5877;4725;;;2441;;
Alemania;DEU;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40532;39516;32783;29034;34670;28133;24402;25571;15862;10068;14479;14217;19107;14191;29575;20137;16978;18047;21627;26897;36131;;;
Djibouti;DJI;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dominica;DMA;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;499;543;478;;1012;969;1376;791;;;;;;;;;;;;;;;;;;;;;;;;71;222;241;79;;;;;112;;95;;;150;41;45;29;57;;
Dinamarca;DNK;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;496;515;;;6631;4366;2560;1332;1536;1208;1437;1395;1132;1312;1958;1892;1714;1490;1019;1012;956;1173;1398;2061;;
República Dominicana;DOM;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;79230;;22264;40987;92799;85475;95185;54003;75799;;11911;18869;26587;29871;41384;20572;22314;28497;34056;24771;24758;64016;35690;29581;29367;
Argelia;DZA;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;276157;192399;135239;156002;224491;228597;244005;234557;238820;250018;254796;209477;182869;147155;111373;83283;73123;91030;84780;89279;143372;166300;171254;192017;209588;;147481;122776;68352;37474;;;;19670;30623;19223;;;;;;;;;2428;11590;36373;;24035;65258;;;
Asia oriental y el Pacífico (excluido altos ingresos);EAP;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
inicial del dividendo demográfico;EAR;Niños que no asisten a la escuela, nivel primario, varones;SE.PRM.UNER.MA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
