Data Source;Indicadores del desarrollo mundial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;2026-01-28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;
Brasil;BRA;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;400219;304494;320958;321036;301028;260722;311870;290889;385978;408419;265585;;;
Barbados;BRB;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;2375;2400;2606;;;1897;1275;684;383;;;;;;;;;;303;751;;1362;;;;;;;;;;;;;302;291;184;206;333;190;345;;;604;513;375;753;690;711;813;972;1212;1437;1659;
Brunei Darussalam;BRN;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;646;407;1511;1417;1778;1986;1655;1440;;1115;;;;;563;477;73;284;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bhután;BTN;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;26474;26780;;;;;;;;;;;;;;;;;;;24692;24368;23306;22050;;;;14002;10751;;6164;3409;2211;2191;1875;2817;;3570;3826;3873;2592;;351;4944.99962234497;2052.99969863892;2949.00020980835;2533.00004577637;
Botswana;BWA;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;28006;29955;29372;28717;26536;21697;18629;15576;15393;15510;12555;7485;;5020;5607;4433;5499;6443;7130;7316;8267;5863;8713;11221;12533;26797;26337;;21777;22995;21334;18854;18393;16904;16739;13008;11852;13295;14325;15148;;;12589;16036;18800;;;;;;;;;;;
República Centroafricana;CAF;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;116166;116095;115514;;;;129583;130493;;;119418;114372;112611;;;95509;115760;122558;126809;118314;133021;;;;;;;;;;;;;;228757;233861;216724;190593;193713;179569;188485;177758;;;;;;;;;;;;;
Canadá;CAN;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6262;;;;;;;;;;;;3168;6376;5993;;24142;22259;19240;34795;37082;56443;62425;61693;;
Europa Central y del Báltico;CEB;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Suiza;CHE;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2240;3102;;;58;183;287;234;164;261;434;591;;;
Islas del Canal;CHI;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chile;CHL;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29519;29007;38466;25791;27937;25976;25386;22811;21550;19771;18922;16412;14825;21557;20885;15069;16670;;
China;CHN;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3886997;5286056;5476505;5956182;6127147;6196526;5410040;4822923;3912182;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Côte d'Ivoire;CIV;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;382100;;;;;;;;;;;;;;;;;;;781666;800162;;835335;876879;844626;874489;913790;;;;;;1037359;;;;636887;583842;570914;448389;460520;403369;381806;366370;428360;474797;347655;337596;
Camerún;CMR;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;219673;223145;236463;247971;223790;224266;239298;242129;244357;251836;;;;;;;;274067;;296144;319170;;;;;;;;;;;;;;;;;;;;240816;;;;;;202776;;251398;;;;;;
Congo, República Democrática del;COD;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;730915;772155;;;790719;;;;857808;;;;866567;859649;;;;1221443;;;1450992;1531780;1606865;1660825;1630442;;;;2649499;;;;;;;;;;;;;;;;;;;;;;;;;;
Congo, República del;COG;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;34472;;29133;;25971;;20180;18950;27585;27952;25398;22559;19986;;;;;;;;;;;;;;;;;;;;;127964;140812;;;;50068;;27477;;;;;;97788;;;;;84011;;
Colombia;COL;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;71801;138784;144108;;13183;;;;;;;;33539;;;56732;86514;66417;79250;84680;105882;126650;131157;;;
Comoras;COM;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;;;;;;;;;;14321;;;;;;;18559;;;;;25071;21832;;;;;;;14887;;;;;;3754;3772;;;4701;6346;;;15690;;;10666;
Cabo Verde;CPV;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;;;;6111;6888;7958;6180;5619;5297;4920;3544;;3197;;;;2383;;;;823;;656;1204;981;1068;1483;1454;1457;2027;2321;2475;2345;2207;1469;1197;1111;984;1181;1115;717;636;1049;872;14764;;;
Costa Rica;CRI;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8118;11758;15439;21431;19987;17545;22549;15152;11194;12440;14237;14482;10864;;
Estados pequeos del Caribe;CSS;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cuba;CUB;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;32436;15912;10914;;;;;20593;21524;24964;19082;10600;10268;20453;21034;15813;15348;17822;18893;18899;12501;15622;12900;13179;3293;1290;;;;;;3753;;5401;5054;4665;8104;6643;9170;12634;10609;;9011;10677;9925;10739;10283;8555;6204;4928;11213;11027;14674;
Curacao;CUW;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;165;;
Islas Caimán;CYM;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;;81;171;112;;85;;;54;;59;;;;;139;147;94;137;61;;92;
Chipre;CYP;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;511;588;294;305;455;285;98;139;;;;;349;410;478;332;423;320;229;;;;;;;
República Checa;CZE;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1142;2064;2812;668;1594;3784;5332;6834;8080;5731;5044;4014;;;2259;;
Alemania;DEU;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32644;28327;30459;26061;26734;22984;22343;22462;15919;6991;10644;11219;15234;9857;20282;11219;8367;9906;13442;16955;22689;;;
Djibouti;DJI;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dominica;DMA;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;790;909;511;;684;966;859;889;;;;;;;;;;;;;;;;;;;;;;;;104;427;456;150;;;;;101;;193;;;289;194;204;170;173;;
Dinamarca;DNK;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;746;517;;;3679;3871;1871;777;950;790;1014;863;792;984;892;1012;1446;1144;753;842;643;905;1150;1646;;
República Dominicana;DOM;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70325;;47175;68919;79822;72373;75807;44418;65737;;42440;33508;38288;37579;46035;25447;21799;26796;30018;19946;18394;53688;33426;27423;26967;
Argelia;DZA;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;527782;478336;438401;437727;458422;449221;452711;445662;451077;463077;464577;441334;425815;398513;374461;359766;357518;368480;352256;341531;350955;335755;312429;297216;280931;;151841;111555;52741;11479;;;;13620;29609;24676;;;;;;;;;14091;18608;46312;;16681;36496;;;
Asia oriental y el Pacífico (excluido altos ingresos);EAP;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
inicial del dividendo demográfico;EAR;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asia oriental y el Pacífico;EAS;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Europa y Asia central (excluido altos ingresos);ECA;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Europa y Asia central;ECS;Niños que no asisten a la escuela, nivel primario, mujeres;SE.PRM.UNER.FE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
