;Table 2. Human Development Index trends, 1990-2023;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;HDI: Human Development Index (HDI);;;;;;;;;;;;;;;;Change in HDI rank;;Average annual HDI growth;;;;;;;
;;Value;;;;;;;;;;;;;;;;;;(%);;;;;;;
HDI rank;Country;1990;;2000;;2010;;2015;;2020;;2021;;2022;;2023;; 2015-2023;a;1990-2000;;2000-2010;;2010-2023;;1990-2023;
52;Kuwait;0,698;;0,778;;0,812;;0,832;;0,837;;0,839;;0,845;;0,852;;1;;1,09;;0,43;;0,37;;0,61;
53;Antigua and Barbuda;..;;..;;0,828;;0,839;;0,840;;0,843;;0,848;;0,851;;-5;;..;;..;;0,21;;..;
54;Seychelles;..;;..;;0,758;;0,819;;0,853;;0,838;;0,836;;0,848;;5;;..;;..;;0,87;;..;
55;Bulgaria;0,706;;0,733;;0,799;;0,824;;0,826;;0,817;;0,835;;0,845;;1;;0,38;;0,87;;0,43;;0,55;
55;Romania;0,719;;0,730;;0,822;;0,823;;0,832;;0,829;;0,840;;0,845;;2;;0,15;;1,19;;0,21;;0,49;
57;Georgia;..;;0,705;;0,770;;0,807;;0,822;;0,819;;0,838;;0,844;;6;;..;;0,89;;0,71;;..;
58;Saint Kitts and Nevis;..;;..;;0,791;;0,830;;0,828;;0,818;;0,829;;0,840;;-4;;..;;..;;0,46;;..;
59;Panama;0,672;;0,718;;0,775;;0,803;;0,808;;0,819;;0,835;;0,839;;6;;0,66;;0,77;;0,61;;0,67;
60;Brunei Darussalam;0,781;;0,792;;0,830;;0,839;;0,836;;0,835;;0,825;;0,837;;-12;;0,14;;0,47;;0,06;;0,21;
60;Kazakhstan;0,689;;0,692;;0,781;;0,819;;0,826;;0,816;;0,831;;0,837;;-1;;0,04;;1,22;;0,53;;0,59;
62;Costa Rica;0,677;;0,720;;0,776;;0,803;;0,819;;0,817;;0,823;;0,833;;3;;0,62;;0,75;;0,55;;0,63;
62;Serbia;..;;0,701;;0,775;;0,802;;0,809;;0,807;;0,826;;0,833;;5;;..;;1,01;;0,56;;..;
64;Russian Federation;0,762;;0,750;;0,808;;0,833;;0,818;;0,813;;0,826;;0,832;;-12;;-0,16;;0,75;;0,23;;0,27;
65;Belarus;..;;0,724;;0,803;;0,825;;0,815;;0,817;;0,824;;0,824;;-10;;..;;1,04;;0,20;;..;
66;Bahamas;0,762;;0,787;;0,801;;0,807;;0,797;;0,794;;0,818;;0,820;;-3;;0,32;;0,18;;0,18;;0,22;
67;Malaysia;0,653;;0,733;;0,779;;0,800;;0,810;;0,802;;0,810;;0,819;;2;;1,16;;0,61;;0,39;;0,69;
68;North Macedonia;0,644;;0,686;;0,765;;0,795;;0,783;;0,781;;0,811;;0,815;;4;;0,63;;1,10;;0,49;;0,72;
69;Armenia;0,663;;0,667;;0,747;;0,777;;0,761;;0,786;;0,801;;0,811;;9;;0,06;;1,14;;0,63;;0,61;
69;Barbados;0,730;;0,762;;0,797;;0,800;;0,803;;0,803;;0,807;;0,811;;0;;0,43;;0,45;;0,13;;0,32;
71;Albania;0,654;;0,682;;0,769;;0,797;;0,794;;0,794;;0,806;;0,810;;0;;0,42;;1,21;;0,40;;0,65;
72;Trinidad and Tobago;0,661;;0,714;;0,789;;0,808;;0,800;;0,796;;0,805;;0,807;;-10;;0,77;;1,00;;0,17;;0,61;
