country_code,year,edu_educational_attainment_rate,edu_public_expenditure_education,edu_school_enrollment_primary,edu_school_enrollment_secondary,edu_out_of_school_children_female,edu_out_of_school_children_male,edu_years_free_primary_secondary,edu_primary_completion_rate,edu_years_compulsory_education,des_gdp_per_capita,des_densidad_poblacion,des_deflactor_inflacion_gdp,des_tasa_natalidad,des_crecimiento_poblacion_rural,des_poblacion_rural,des_tasa_mortalidad_infantil,elec_electricity_access_total,elec_electricity_access_rural,elec_electricity_access_urban
CYM,2023,99.02999877929688,1.57024002075195,101.441241685144,86.0370923044127,61.0,59.0,12.0,102.59067357513,11.0,99143.5180243123,304.325,2.74928086144881,11.838,0.40070969686677604,0.0,13.3,100.0,100.0,100.0
CYP,2023,97.1161650358433,4.73588991165161,98.5918273925781,102.400848388672,229.0,100.0,12.0,98.4943389892578,9.0,36623.69140625,145.560173160173,5.60170328445425,10.799,1.00316991861147,448227.0,2.9,100.0,100.0,100.0
CZE,2023,99.8862949448944,4.30291986465454,99.699089050293,97.6154174804688,2259.0,2441.0,13.0,98.7293701171875,9.0,31761.5944102491,140.785547662605,8.59789006156055,8.4,1.64135444268718,2962055.0,2.1,100.0,100.0,100.0
DEU,2023,100.0,5.23916006088257,102.190689086914,100.603057861328,22689.0,36131.0,13.0,99.2837371826172,13.0,54776.7668235491,240.110817617262,6.6911238945853,8.3,-0.511028232957021,15072134.0,3.1,100.0,100.0,100.0
DJI,2023,39.28207015991211,3.75143003463745,100.273303543778,91.8494100359933,15227.0,15910.06148859165,12.0,94.6245816835048,10.0,3381.29779710722,49.7387402933563,2.44653971370865,20.769,0.541494736981149,313130.0,44.4,65.2,37.0,74.6
DMA,2023,79.73069763183594,4.69423746286593,99.0721649484536,102.585807800293,173.0,57.0,12.0,100.958076477051,12.0,9912.96212766668,88.68,2.08922149000234,11.09,-2.05325567358659,17884.0,33.1,100.0,100.0,100.0
DNK,2023,100.0,6.35586977005005,99.8698883056641,126.98078918457,1646.0,2061.0,10.0,99.2550430297852,10.0,68043.5466971243,148.6738,-2.12250636567327,9.7,-0.686564529892477,680769.0,3.0,100.0,100.0,100.0
DOM,2023,75.7,3.7606477375256,101.644848757662,75.4805556926418,27423.0,29581.0,12.0,91.6880720478921,12.0,10630.431743829,235.098143035751,5.7871768273554,17.931,1.11757722012838,3132211.0,28.4,99.6,98.2,100.0
DZA,2023,64.00724792480469,5.61015717726636,105.840748480875,101.264892578125,36496.0,65258.0,12.0,97.5415729665837,10.0,5370.477235078,19.3825602290762,1.00153139964416,19.625,-0.666884117992948,11664402.0,19.7,100.0,100.0,100.0
ECU,2023,83.7,3.89365005493164,97.2490097236115,92.8118025876465,28201.0,57889.0,12.0,100.199679503356,12.0,6737.84748379638,72.3952448059269,2.28375927738441,15.033,0.762426990987386,6629118.0,11.1,98.7,95.5,100.0
