country_code,year,edu_educational_attainment_rate,edu_spending_per_student_primary,edu_spending_per_student_secondary,edu_public_expenditure_education,edu_school_enrollment_primary,edu_school_enrollment_secondary,edu_lower_secondary_schools_electricity,edu_economically_active_children_female,edu_economically_active_children_male,edu_out_of_school_children_female,edu_out_of_school_children_male,edu_years_free_primary_secondary,edu_primary_completion_rate,edu_primary_schools_internet,edu_primary_schools_electricity,edu_secondary_schools_internet,edu_literacy_rate,edu_upper_secondary_schools_electricity,edu_years_compulsory_education,des_gdp_per_capita,des_tasa_pobreza,des_densidad_poblacion,des_deflactor_inflacion_gdp,des_tasa_natalidad,des_crecimiento_poblacion_rural,des_poblacion_rural,des_tasa_mortalidad_infantil,des_hdi,elec_electricity_access_total,elec_electricity_access_rural,elec_electricity_access_urban,elec_electricity_consumption,elec_gdp_per_unit_energy_use,elec_private_investment_energy
AFG,1970,,,,,31.6514205932617,8.36410045623779,,,,,,,,,,,,,,,,17.3100409364795,,51.207,2.01617320761024,10022273.0,223.1,,,,,,,
AFG,1971,,,,,32.5397186279297,9.37827014923096,,,,,,,,,,,,,,,,17.7355641414838,,51.303,1.93584726220994,10218179.0,220.2,,,,,,,
AFG,1972,,,,,32.9628715515137,10.4142398834228,,,,,,,,,,,,,,,,18.1741042270365,,51.244,1.87954964542435,10412051.0,217.1,,,,,,,
AFG,1973,,,,,33.4245185852051,10.9321804046631,,,,,,,,,,,,,,,,18.6406620363982,,51.278,1.92988400663145,10614943.0,213.8,,,,,,,
AFG,1974,,,,,33.9628105163574,11.0948801040649,,,,867413.0,528840.0,,17.0585193634033,,,,,,,,,19.1176839458473,,51.373,1.9028829060936,10818867.0,210.7,,,,,,,
AFG,1975,,,,,34.8824882507324,11.5955896377563,,,,,,,,,,,,,,,,19.5850451527835,,51.321,1.79548960136909,11014873.0,207.5,,,,,,,
AFG,1976,,,,,35.7282295227051,12.4582595825195,,,,,,,,,,,,,,,,20.0233828557411,,51.329,1.62180304978838,11194969.0,204.1,,,,,,,
AFG,1977,,,,,36.4627990722656,13.2592697143555,,,,,,,18.0157699584961,,,,,,,,,20.4540668169204,,51.331,1.58898335061845,11374276.0,200.4,,,,,,,
AFG,1978,,,,,37.6821899414062,13.8213396072388,,,,,,,19.6335601806641,,,,,,,,,20.8690814589945,,51.288,1.54701604609026,11551606.0,196.6,,,,,,,
AFG,1979,,,,,,,,,,,,,,,,,18.1599998474121,,,,,20.936735507413,,52.029,-0.0357676571119053,11547475.0,192.9,,,,,,,
AFG,1980,,,,,43.8101081848145,16.732780456543,,,,,,,26.3158493041992,,,,,,,,,20.1912070895236,,53.452,-3.91405914873231,11104231.0,188.8,,,,,,,
AFG,1981,,,,,49.459789276123,20.0920791625977,,,,,,,33.8830986022949,,,,,,,,,18.302716833019,,55.185,-10.0843021312553,10039057.0,184.6,,,,,,,
AFG,1982,,,,,20.1360893249512,12.295000076294,,,,,,,,,,,,,,,,16.8519969949251,,51.973,-8.50045741693757,9220955.0,199.0,,,,,,,
AFG,1983,,,,,,,,,,,,,,,,,,,,,,16.7394661392454,,51.173,-0.892293599129121,9139043.0,195.1,,,,,,,
AFG,1984,,,,,24.6484394073486,13.6493997573853,,,,,,,19.7956600189209,,,,,,,,,17.1568633764163,,50.351,2.25869507623343,9347815.0,207.7,,,,,,,
AFG,1985,,,,,25.136360168457,13.4969701766968,,,,,,,19.2908706665039,,,,,,,,,17.5196663753584,,51.693,1.90441358966505,9527542.0,202.5,,,,,,,
AFG,1986,,,,,26.6832408905029,12.1385698318481,,,,,,,,,,,,,,,,17.5092743357405,,52.195,-0.233543579571979,9505317.0,181.1,,,,,,,
AFG,1987,,,,,,,,,,,,,,,,,,,,,,17.4598193888659,,52.222,-0.44519353505513,9463094.0,176.9,,,,,,,
AFG,1988,,,,,34.0781402587891,13.2139596939087,,,,,,,,,,,,,,,,17.6675375251062,,51.708,1.03007775386086,9561075.0,163.4,,,,,,,
AFG,1989,,,,,31.8333892822266,12.6811199188232,,,,,,,,,,,,,,,,18.205369271576,,51.682,2.85378360006795,9837858.0,149.0,,,,,,,
AFG,1990,,,,,30.983039855957,11.0395498275757,,,,,,,,,,,,,,,,18.4684237155605,,52.888,1.29506271025818,9966093.0,144.5,0.285,,,,,,
