country_code,year,edu_educational_attainment_rate,edu_public_expenditure_education,edu_school_enrollment_primary,edu_school_enrollment_secondary,edu_lower_secondary_schools_electricity,edu_out_of_school_children_female,edu_out_of_school_children_male,edu_years_free_primary_secondary,edu_primary_completion_rate,edu_primary_schools_internet,edu_primary_schools_electricity,edu_secondary_schools_internet,edu_upper_secondary_schools_electricity,edu_years_compulsory_education,des_gdp_per_capita,des_densidad_poblacion,des_deflactor_inflacion_gdp,des_tasa_natalidad,des_crecimiento_poblacion_rural,des_poblacion_rural,des_tasa_mortalidad_infantil,des_hdi,elec_electricity_access_total,elec_electricity_access_rural,elec_electricity_access_urban,elec_electricity_consumption,elec_gdp_per_unit_energy_use
CHL,2023,92.2210770169089,,100.318382263184,105.83097076416,,16670.0,3563.0,12.0,100.907341003418,,,,,12.0,17067.0364799154,26.4647249005172,6.58777169908957,8.963,-1.02467261259889,2198671.0,6.2,0.878,100.0,100.0,100.0,4322.99269005513,14.4966202304986
CHN,2023,,4.00127983093262,99.1718634239571,,99.4626524390244,,,9.0,,98.6500533138408,99.15770837664384,98.9192057780424,99.51569941076762,9.0,12951.1782397043,150.264001337848,-0.50570453916356,6.39,-1.00632391653804,486269694.0,4.5,0.797,100.0,100.0,100.0,6523.71926193193,7.95774856871017
CIV,2023,,3.42617011070252,91.8093412241399,63.9607557764462,73.00291545189505,347655.0,316365.0,10.0,75.870809116479,,66.62044170518747,,91.29554655870446,10.0,2591.9659048119,98.0052012578616,3.90243671754979,31.99,1.31277979199272,14520851.0,46.6,0.582,72.4,48.0,93.9,,
CMR,2023,,2.83907623667935,114.424832636759,44.840795775403,36.28428927680798,,,6.0,72.2156986466489,,,24.09209589366247,84.89842851667305,6.0,1720.47510154506,60.0213386642973,3.57281742916192,33.743,2.0141559382869,12731197.0,41.2,0.588,72.0,26.0,95.8,,
COD,2023,,,117.602096557617,55.4860992431641,11.69040966033936,,,6.0,75.7079315185547,,9.953689575195312,,11.69040966033936,6.0,660.21205238997,46.6640484329856,11.2860274867788,41.305,2.59275927987299,58845037.0,44.5,,22.1,1.0,55.6,,
COG,2023,,3.34005209256916,87.880241394043,,,84011.0,87114.0,13.0,71.1370697021484,,,,,10.0,2477.97845544866,18.1050805270864,-7.56770228699291,30.627,2.36286039950492,2246695.0,27.6,0.649,51.3,10.8,69.4,,
COL,2023,82.2,,,,,,,11.0,,,,,,11.0,7000.83660501046,47.1574150518251,6.9523623210511,13.475,0.0718334817848117,11366471.0,10.9,0.788,98.7,94.8,100.0,1552.83278166352,21.3102928316198
COM,2023,,2.34146896682989,,,,,,6.0,,,,,,6.0,1560.27378476855,456.951638903815,2.62932529188626,28.653,1.36302793480971,568482.0,35.7,0.603,89.8,86.1,98.3,,
CPV,2023,,4.3482854136693,,,,,,8.0,,,,,,10.0,4794.90121917259,129.610669975186,3.25900393210172,12.33,-3.06117608468991,125848.0,11.0,0.668,98.6,96.9,96.5,,
CRI,2023,84.9,,106.156616210938,125.510070800781,,10864.0,10267.0,11.0,100.666328430176,,,,,11.0,16942.0268119375,99.9906972189581,-0.087922596921004,10.179,-1.60203040938352,1078188.0,9.2,0.833,100.0,100.0,100.0,2206.04149426357,25.342286405768
