dataset,tipo_analisis,grupo,variable,valor
desarrollo,nulos_absolutos_por_pais,ALB,tasa_pobreza,53
desarrollo,nulos_absolutos_por_pais,ALB,year,0
desarrollo,nulos_absolutos_por_pais,AND,country_code,0
desarrollo,nulos_absolutos_por_pais,AND,crecimiento_poblacion_rural,1
desarrollo,nulos_absolutos_por_pais,AND,deflactor_inflacion_gdp,11
desarrollo,nulos_absolutos_por_pais,AND,densidad_poblacion,2
desarrollo,nulos_absolutos_por_pais,AND,gdp_per_capita,10
desarrollo,nulos_absolutos_por_pais,AND,hdi,58
desarrollo,nulos_absolutos_por_pais,AND,poblacion_rural,0
desarrollo,nulos_absolutos_por_pais,AND,tasa_mortalidad_infantil,26
desarrollo,nulos_absolutos_por_pais,AND,tasa_natalidad,1
desarrollo,nulos_absolutos_por_pais,AND,tasa_pobreza,65
desarrollo,nulos_absolutos_por_pais,AND,year,0
desarrollo,nulos_absolutos_por_pais,ARB,country_code,0
desarrollo,nulos_absolutos_por_pais,ARB,crecimiento_poblacion_rural,1
desarrollo,nulos_absolutos_por_pais,ARB,deflactor_inflacion_gdp,2
desarrollo,nulos_absolutos_por_pais,ARB,densidad_poblacion,3
desarrollo,nulos_absolutos_por_pais,ARB,gdp_per_capita,1
desarrollo,nulos_absolutos_por_pais,ARB,hdi,65
desarrollo,nulos_absolutos_por_pais,ARB,poblacion_rural,0
desarrollo,nulos_absolutos_por_pais,ARB,tasa_mortalidad_infantil,31
desarrollo,nulos_absolutos_por_pais,ARB,tasa_natalidad,1
desarrollo,nulos_absolutos_por_pais,ARB,tasa_pobreza,65
desarrollo,nulos_absolutos_por_pais,ARB,year,0
desarrollo,nulos_absolutos_por_pais,ARE,country_code,0
desarrollo,nulos_absolutos_por_pais,ARE,crecimiento_poblacion_rural,1
desarrollo,nulos_absolutos_por_pais,ARE,deflactor_inflacion_gdp,11
desarrollo,nulos_absolutos_por_pais,ARE,densidad_poblacion,2
desarrollo,nulos_absolutos_por_pais,ARE,gdp_per_capita,10
desarrollo,nulos_absolutos_por_pais,ARE,hdi,57
desarrollo,nulos_absolutos_por_pais,ARE,poblacion_rural,0
desarrollo,nulos_absolutos_por_pais,ARE,tasa_mortalidad_infantil,1
desarrollo,nulos_absolutos_por_pais,ARE,tasa_natalidad,1
desarrollo,nulos_absolutos_por_pais,ARE,tasa_pobreza,63
desarrollo,nulos_absolutos_por_pais,ARE,year,0
desarrollo,nulos_absolutos_por_pais,ARG,country_code,0
desarrollo,nulos_absolutos_por_pais,ARG,crecimiento_poblacion_rural,1
desarrollo,nulos_absolutos_por_pais,ARG,deflactor_inflacion_gdp,1
desarrollo,nulos_absolutos_por_pais,ARG,densidad_poblacion,2
desarrollo,nulos_absolutos_por_pais,ARG,gdp_per_capita,0
desarrollo,nulos_absolutos_por_pais,ARG,hdi,57
desarrollo,nulos_absolutos_por_pais,ARG,poblacion_rural,0
desarrollo,nulos_absolutos_por_pais,ARG,tasa_mortalidad_infantil,10
desarrollo,nulos_absolutos_por_pais,ARG,tasa_natalidad,1
desarrollo,nulos_absolutos_por_pais,ARG,tasa_pobreza,29
desarrollo,nulos_absolutos_por_pais,ARG,year,0
desarrollo,nulos_absolutos_por_pais,ARM,country_code,0
desarrollo,nulos_absolutos_por_pais,ARM,crecimiento_poblacion_rural,1
desarrollo,nulos_absolutos_por_pais,ARM,deflactor_inflacion_gdp,31
desarrollo,nulos_absolutos_por_pais,ARM,densidad_poblacion,33
desarrollo,nulos_absolutos_por_pais,ARM,gdp_per_capita,30
desarrollo,nulos_absolutos_por_pais,ARM,hdi,57
desarrollo,nulos_absolutos_por_pais,ARM,poblacion_rural,0
desarrollo,nulos_absolutos_por_pais,ARM,tasa_mortalidad_infantil,17
desarrollo,nulos_absolutos_por_pais,ARM,tasa_natalidad,1
desarrollo,nulos_absolutos_por_pais,ARM,tasa_pobreza,40
desarrollo,nulos_absolutos_por_pais,ARM,year,0
desarrollo,nulos_absolutos_por_pais,ASM,country_code,0
desarrollo,nulos_absolutos_por_pais,ASM,crecimiento_poblacion_rural,1
desarrollo,nulos_absolutos_por_pais,ASM,deflactor_inflacion_gdp,45
desarrollo,nulos_absolutos_por_pais,ASM,densidad_poblacion,2
desarrollo,nulos_absolutos_por_pais,ASM,gdp_per_capita,44
desarrollo,nulos_absolutos_por_pais,ASM,hdi,65
desarrollo,nulos_absolutos_por_pais,ASM,poblacion_rural,0
desarrollo,nulos_absolutos_por_pais,ASM,tasa_mortalidad_infantil,65
desarrollo,nulos_absolutos_por_pais,ASM,tasa_natalidad,1
desarrollo,nulos_absolutos_por_pais,ASM,tasa_pobreza,65
desarrollo,nulos_absolutos_por_pais,ASM,year,0
desarrollo,nulos_absolutos_por_pais,ATG,country_code,0
desarrollo,nulos_absolutos_por_pais,ATG,crecimiento_poblacion_rural,1
desarrollo,nulos_absolutos_por_pais,ATG,deflactor_inflacion_gdp,18
desarrollo,nulos_absolutos_por_pais,ATG,densidad_poblacion,2
desarrollo,nulos_absolutos_por_pais,ATG,gdp_per_capita,17
desarrollo,nulos_absolutos_por_pais,ATG,hdi,59
desarrollo,nulos_absolutos_por_pais,ATG,poblacion_rural,0
desarrollo,nulos_absolutos_por_pais,ATG,tasa_mortalidad_infantil,1
desarrollo,nulos_absolutos_por_pais,ATG,tasa_natalidad,1
desarrollo,nulos_absolutos_por_pais,ATG,tasa_pobreza,65
desarrollo,nulos_absolutos_por_pais,ATG,year,0
desarrollo,nulos_absolutos_por_pais,AUS,country_code,0
desarrollo,nulos_absolutos_por_pais,AUS,crecimiento_poblacion_rural,1
desarrollo,nulos_absolutos_por_pais,AUS,deflactor_inflacion_gdp,1
desarrollo,nulos_absolutos_por_pais,AUS,densidad_poblacion,2
desarrollo,nulos_absolutos_por_pais,AUS,gdp_per_capita,0
desarrollo,nulos_absolutos_por_pais,AUS,hdi,57
desarrollo,nulos_absolutos_por_pais,AUS,poblacion_rural,0
desarrollo,nulos_absolutos_por_pais,AUS,tasa_mortalidad_infantil,1
desarrollo,nulos_absolutos_por_pais,AUS,tasa_natalidad,1
desarrollo,nulos_absolutos_por_pais,AUS,tasa_pobreza,52
desarrollo,nulos_absolutos_por_pais,AUS,year,0
desarrollo,nulos_absolutos_por_pais,AUT,country_code,0
desarrollo,nulos_absolutos_por_pais,AUT,crecimiento_poblacion_rural,1
